City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,283.31,87,0,1.54,ZA,1686077987
1,castillo de locubin,37.5286,-3.9422,301.42,38,97,4.29,ES,1686078504
2,margaret river,-33.95,115.0667,285.02,70,100,8.83,AU,1686078252
3,ambodifotatra,-16.9833,49.85,298.59,78,7,6.88,MG,1686078505
4,vyazemskiy,47.5378,134.7525,284.61,91,60,1.29,RU,1686078505
5,lata,40.1629,-8.3327,294.63,65,100,3.39,PT,1686078407
6,port-aux-francais,-49.35,70.2167,275.68,77,100,9.28,TF,1686078257
7,baykal'sk,51.5058,104.1469,284.05,66,5,4.58,RU,1686078402
8,uturoa,-16.7333,-151.4333,299.54,71,77,6.87,PF,1686078345
9,touros,-5.1989,-35.4608,300.65,76,0,7.2,BR,1686078051
10,tannum sands,-23.9504,151.3693,291.09,72,100,3.6,AU,1686078506
11,laguna,38.421,-121.4238,296.49,60,0,7.72,US,1686078306
12,tura,25.5198,90.2201,300.35,54,0,1.93,IN,1686078350
13,chibougamau,49.9168,-74.3659,288.94,33,75,6.17,CA,1686078339
14,edinburgh of the seven seas,-37.0676,-12.3116,285.95,66,97,8.73,SH,1686078245
15,enewetak,11.3474,162.3373,300.98,81,84,6.45,MH,1686078347
16,salalah,17.0151,54.0924,303.2,79,20,3.09,OM,1686078391
17,solnechnyy,50.7214,136.6319,284.14,82,100,1.23,RU,1686078508
18,bethel,41.3712,-73.414,296.2,54,0,3.09,US,1686078259
19,jaru,-10.4389,-62.4664,302.95,64,73,1.69,BR,1686078509
20,palangkaraya,-2.2,113.8333,296.71,99,100,0.42,ID,1686078510
21,constantia,44.1833,28.65,288.53,66,80,5.0,RO,1686078379
22,puerto natales,-51.7236,-72.4875,280.4,61,40,15.43,CL,1686078258
23,papatowai,-46.5619,169.4708,277.95,87,51,2.1,NZ,1686078352
24,amper,9.35,9.7,301.58,58,45,2.94,NG,1686078511
25,mabaruma,8.2,-59.7833,301.74,80,21,2.39,GY,1686078511
26,grytviken,-54.2811,-36.5092,275.78,97,97,1.98,GS,1686078263
27,bilibino,68.0546,166.4372,281.98,59,100,1.32,RU,1686078327
28,ust-nera,64.5667,143.2,281.96,87,100,3.75,RU,1686078371
29,blackmans bay,-43.0167,147.3167,284.12,95,6,3.01,AU,1686078325
